"","OBJECTID","mun","semi_arido","newtipology","dens_mean","percent_medio_ab","IFDM_geral_2016","SNIS_G12A_2015","SNIS_G12B_2015","mediaciclo22","bioma_2014","grupo_SES_CRI_2014","ZK_incid_2016","ZK_incid_2017","ZK_incid_2018","ZK_incid_2019","chik_incid_2016","chik_incid_2017","chik_incid_2018","chik_incid_2019","dg_incid_2016","dg_incid_2017","dg_incid_2018","dg_incid_2019"
"1",1,"ABAIRA",0,4,17.1,100,"",NA,NA,3.5,1,"1",0,10.87,0,0,NA,NA,NA,NA,10.86,21.74,22.81,22.89
"2",2,"ABARE",1,4,12.42,100,"0.611513",19574,19574,4.25,3,"1",30.09,4.95,0,0,20.06,4.95,5.05,4.98,5.02,0,0,1075.38
"3",3,"ACAJUTIBA",NA,3,86.87,100,"0.510299",15717,NA,1.5,3,"1",0,0,0,19.79,0,0,0,72.56,0,0,0,224.29
"4",4,"ADUSTINA",0,3,27.29,70.49,"",17153,NA,3.75,3,"1",0,11.53,0,17.61,5.8,5.76,0,0,411.5,40.35,23.83,399.06
"5",5,"AGUA FRIA",0,3,23.46,100,"0.525544",17043,NA,1.5,3,"1",22.95,0,5.92,5.89,0,0,0,11.79,17.21,5.71,23.67,548.03
"6",6,"AIQUARA",0,3,28.26,100,"0.428362",4767,NA,4,3,"1",1074.82,0,0,0,147.52,42.33,0,0,189.67,84.66,0,67.48
"7",7,"ALAGOINHAS",NA,5,219.57,66.13,"0.668346",154495,154495,1.25,3,"1",54.07,2.56,1.99,27.71,6.44,0.64,0.66,60.69,15.45,13.46,10.61,333.78
"8",8,"ALCOBACA",NA,3,15.74,100,"0.546071",23282,NA,1.75,1,"1",175.73,4.28,0,0,475.76,1296.2,75.73,48.95,1358.71,38.5,22.27,31.15
"9",9,"ALMADINA",NA,1,24.72,100,"0.599554",6145,NA,3,1,"1",329.92,16.71,0,0,3645.66,0,0,0,890.8,0,0,18.3
"10",10,"AMARGOSA",0,1,88.12,86.77,"0.634804",37807,37807,4.75,3,"1",89.38,0,0,0,44.69,7.84,2.7,0,49.95,10.46,0,26.85
"11",11,"AMELIA RODRIGUES",NA,1,152.31,92.48,"0.591554",26441,NA,5.25,3,"3",NA,NA,NA,NA,60.55,0,0,7.97,3.78,0,0,1330.57
"12",12,"AMERICA DOURADA",0,3,20.41,100,"0.565623",16923,NA,1,3,"1",703.18,11.91,111.82,80.78,482.69,0,0,12.43,1120.31,29.77,80.76,385.24
"13",13,"ANAGE",0,3,14.83,100,"0.461822",20096,NA,2,1,"1",0,5.11,0,0,NA,NA,NA,NA,196.73,0,0,31.81
"14",14,"ANDARAI",0,3,8.63,100,"0.534308",13723,NA,4,1,"1",43.69,14.56,0,0,43.69,0,15.21,0,72.82,7.28,38.01,167.39
"15",15,"ANDORINHA",1,3,11.41,100,"0.50641",14791,NA,3.25,1,"1",32.15,0,0,47.96,321.52,6.46,0,6.85,469.42,32.28,0,274.07
"16",16,"ANGICAL",NA,3,9.61,99.61,"0.627828",14724,NA,4,1,"2",6.8,0,0,0,0,6.81,0,0,47.6,13.61,28.54,135.94
"17",17,"ANGUERA",0,3,60.7,100,"0.520575",11299,NA,5,3,"3",105.24,0,26.93,35.65,420.98,0,0,35.65,78.93,26.13,53.85,356.47
"18",18,"ANTAS",0,3,60.27,87.27,"0.493469",19183,NA,5,3,"1",294.09,5.11,15.71,0,1227.94,0,0,10.37,1810.96,5.11,0,36.29
"19",19,"ANTONIO CARDOSO",0,3,41.56,100,"0.593912",12225,NA,3.5,3,"3",24.59,0,0,17.12,0,0,0,0,16.39,8.19,8.55,462.21
"20",20,"ANTONIO GONCALVES",1,3,34.72,100,"0.501358",12187,NA,4,1,"1",775.71,0,8.54,0,633.91,0,0,0,417.05,16.57,34.14,59.33
"21",21,"APORA",NA,3,40.11,100,"0.584557",19146,NA,1.75,3,"1",46.82,0,0,0,93.64,0,0,5.64,5.2,0,0,78.96
"22",22,"APUAREMA",NA,3,51.35,100,"0.548025",7762,NA,3,3,"1",64.56,0,0,13.64,38.73,0,0,0,154.94,38.81,0,95.5
"23",23,"ARACAS",NA,3,26.32,100,"0.541963",NA,NA,3,1,"1",NA,NA,NA,NA,0,0,8.24,16.42,0,0,0,98.55
"24",24,"ARACATU",0,3,9.41,94.56,"0.547207",14089,NA,3.75,3,"1",21.39,0,0,7.61,NA,NA,NA,NA,149.75,14.32,0,38.07
"25",25,"ARACI",0,3,37.2,81.75,"0.485405",56370,56370,0.25,3,"1",3.59,0,0,1.84,21.57,3.58,1.85,9.19,12.58,12.51,3.7,356.76
"26",26,"ARAMARI",NA,3,30.86,100,"0.58587",11314,NA,2.75,3,"1",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,587.87
"27",27,"ARATACA",NA,3,26.83,100,"",11737,NA,3.75,1,"1",350.52,17.15,9.03,0,51.3,0,0,0,376.16,8.58,0,9.08
"28",28,"ARATUIPE",NA,3,52.58,100,"0.526268",9127,NA,4,1,"1",10.93,0,0,0,10.93,0,0,0,10.93,0,11.35,45.33
"29",29,"AURELINO LEAL",NA,1,28.94,100,"0.448537",13089,NA,2.25,3,"1",23.27,0,0,0,7.76,0,0,0,209.45,31.48,0,0
"30",30,"BAIANOPOLIS",NA,3,4.29,100,"0.444058",14195,NA,4.5,1,"2",7.01,0,0,0,7.01,0,0,50.44,7.01,6.98,0,223.39
"31",31,"BAIXA GRANDE",0,3,22.11,89.62,"0.479383",21197,NA,4,3,"3",60.77,51.39,9.76,0,958.26,495.26,0,0,313.19,308.37,0,9.77
"32",32,"BANZAE",0,3,33.55,100,"0.551396",13711,NA,2.75,1,"1",29.12,0,0,0,342.12,7.26,0,75.59,50.95,0,22.7,188.98
"33",33,"BARRA",0,4,4.78,84.14,"0.513426",NA,NA,5.25,1,"1",32.99,5.46,15.03,5.6,27.49,1.82,0,1.87,34.82,12.75,144.65,70.92
